specno	time	lat	long	relaz	sza	no2zendscd	no2offdscd	o4zen	o4off	rmszen	amf120	amf180	sig120	sig180	RAMF	RGA	VCBira	VCWagAMF	VCWagGA	errTot
54 	1.371250e+01 	5.091233e+01 	4.407287e+00 	1.392883e+02 	5.560298e+01 	-6302100000000000 	5.252393e+14 	6.114300e+41 	1.296443e+43 	3.741500e-04 	2.782946e+00 	1.421052e+00 	2.322625e-01 	1.439671e-01 	13076946730317736 	12076295901800696 	4783318253606870 	4767487345183454 	5774195901800696 	6.361682e+14 
55 	1.372111e+01 	5.091410e+01 	4.416864e+00 	1.458340e+02 	5.565936e+01 	-8336100000000000 	-8.410356e+14 	7.634400e+41 	1.333891e+43 	3.812900e-04 	2.792915e+00 	1.421655e+00 	2.357508e-01 	1.441697e-01 	13052442836114256 	12048545549607768 	3339846598574674 	3317501414789876 	3712445549607768 	6.485040e+14 
56 	1.372972e+01 	5.091244e+01 	4.423687e+00 	1.085222e+02 	5.571326e+01 	-6936200000000000 	1.179634e+15 	4.765800e+41 	1.175764e+43 	3.836900e-04 	2.903742e+00 	1.422232e+00 	2.661829e-01 	1.443635e-01 	13027938941910776 	12020795197414840 	4.301697e+15 	4283224787285260 	5084595197414840 	6.430823e+14 
57 	1.373833e+01 	5.090813e+01 	4.429748e+00 	8.132219e+01 	5.576363e+01 	-6625900000000000 	3194500263778095 	1.369800e+42 	8.953404e+42 	3.885600e-04 	2.945384e+00 	1.422771e+00 	2.790664e-01 	1.445445e-01 	13003435047707296 	11993044845221912 	4522619766978516 	4482475125324729 	5367144845221912 	6.492753e+14 
58 	1.374694e+01 	5.090168e+01 	4.434920e+00 	6.672144e+01 	5.581254e+01 	-7040100000000000 	6144539411452921 	6.135700e+41 	1.125765e+43 	3.876500e-04 	2.606942e+00 	1.423294e+00 	1.807701e-01 	1.447203e-01 	12978931153503816 	11965294493028992 	4201217910304537 	4172595690547268 	4925194493028992 	6.485011e+14 
59 	1.375556e+01 	5.089702e+01 	4.444582e+00 	9.263571e+01 	5.586639e+01 	-4131100000000000 	3.961857e+15 	7.222300e+41 	1.187717e+43 	3.729200e-04 	3.114826e+00 	1.423870e+00 	3.283615e-01 	1.449138e-01 	12954424413650096 	11937540918172936 	6229524309502253 	6196719013104135 	7806440918172936 	6.634832e+14 
60 	1.376417e+01 	5.089219e+01 	4.453454e+00 	8.948147e+01 	5.591862e+01 	-3093200000000000 	4159846685094483 	9.114800e+41 	1.002706e+43 	3.659900e-04 	3.138742e+00 	1.424429e+00 	3.355212e-01 	1.451015e-01 	12929920519446616 	11909790565980008 	6951309081848248 	6905727771272783 	8816590565980008 	682995174764331 
61 	1.377278e+01 	5.088778e+01 	4.457480e+00 	7.030969e+01 	5.596966e+01 	-1842900000000000 	4831826529931094 	9.488600e+41 	1.006762e+43 	3.902300e-04 	2.692435e+00 	1.424975e+00 	2.057538e-01 	1.452849e-01 	12905416625243136 	11882040213787080 	7788570204704424 	7763304020910186 	10039140213787080 	739302309858227 
62 	1.378139e+01 	5.088552e+01 	4.459590e+00 	7.094912e+01 	5.602079e+01 	-2470500000000000 	4.192061e+15 	7.292400e+41 	7.861644e+42 	3.845800e-04 	2.708060e+00 	1.425522e+00 	2.103457e-01 	1.454687e-01 	12880912731039656 	11854289861594152 	7320380122773418 	7302875149183893 	9383789861594152 	7.137371e+14 
63 	1.379000e+01 	5.088334e+01 	4.460333e+00 	5.280301e+01 	5.607216e+01 	-2688800000000000 	4587162764831822 	9.203300e+41 	7.082305e+42 	3.858800e-04 	2.400145e+00 	1.426072e+00 	1.218303e-01 	1.456533e-01 	12856408836836184 	11826539509401224 	7105779801369396 	7129800085244754 	9137739509401224 	705851452934005 
